well,depth_m,latitude,longitude,bhtcorrected_temp_C,thermal_gradient_K_m,k_W_mK,optMdot,lcoe_b_USD,lcoe_g_USD,power_MW,error
0,521.3,31.2634,-95.218,57.2,0.0668,1.99,0.0,0.0,0.0,0.0,GenGeo::DownHolePump:ExceedsMaxProductionPumpPressure - Exceeds Max Pump Pressure of 15.000 MPa!
1,841.5,31.7049,-93.9206,65.0,0.0522,2.0,41.776106399,361.448972962486,620.6669279147197,0.9738903987031658,
2,1144.3,32.51014,-94.85021,80.77,0.05219,2.27,0.0,0.0,0.0,0.0,GenGeo::DownHolePump:ExceedsMaxProductionPumpPressure - Exceeds Max Pump Pressure of 15.000 MPa!
3,1791.5,32.6898,-94.2976,110.4,0.0502,2.07,0.0,0.0,0.0,0.0,GenGeo::DownHolePump:ExceedsMaxProductionPumpPressure - Exceeds Max Pump Pressure of 15.000 MPa!
4,1847.2,31.7418,-93.8744,112.5,0.0495,2.0,0.0,0.0,0.0,0.0,GenGeo::DownHolePump:ExceedsMaxProductionPumpPressure - Exceeds Max Pump Pressure of 15.000 MPa!
5,2791.2,31.8001,-94.7995,158.4,0.0489,2.02,0.0,0.0,0.0,0.0,GenGeo::DownHolePump:ExceedsMaxProductionPumpPressure - Exceeds Max Pump Pressure of 15.000 MPa!
6,1190.2,31.7162,-93.8704,78.6,0.0484,2.0,0.0,0.0,0.0,0.0,GenGeo::DownHolePump:ExceedsMaxProductionPumpPressure - Exceeds Max Pump Pressure of 15.000 MPa!
7,3642.0,32.38374,-94.73103,192.0,0.04690999999999999,2.34,0.0,0.0,0.0,0.0,GenGeo::DownHolePump:ExceedsMaxProductionPumpPressure - Exceeds Max Pump Pressure of 15.000 MPa!
8,3053.56,32.3483,-94.82097,160.74,0.045689999999999995,2.32,38.84604829900001,671.3690253099912,1211.2774995832187,0.4675790240915809,
9,2681.7,32.6303,-94.6304,141.7,0.0451,2.07,36.74604829900001,714.5178392926258,1307.0266573256708,0.42606940152808115,
10,3879.3,32.8002,-93.1672,193.0,0.044700000000000004,2.09,34.356002599,785.5297968504074,1461.753282225123,0.37332314384135906,
11,3739.6,31.9197,-94.549,184.0,0.0437,2.02,33.968716399,797.1894191735535,1487.4757652830658,0.36571761693139393,
12,1237.8,32.6172,-93.4342,73.6,0.0437,2.08,32.16339259899998,864.2334259196814,1634.5690444440584,0.3277141435872234,
13,519.8,31.2644,-95.212,45.0,0.0435,1.99,34.390268299000006,782.5310414492623,1455.5382056314213,0.3751072662149567,
14,2495.73,32.59281,-94.64352,128.92,0.04332,2.3,32.34861259899998,871.3901635028,1646.9874729221067,0.3254909144649569,
15,1263.4,31.7002,-93.3002,75.0,0.0432,1.98,31.427716398999994,888.4201547971455,1689.2192070216192,0.315247472881231,
16,1117.54,32.51474,-94.82837,69.31,0.0432,2.27,32.275450698999975,872.470069734765,1649.7787665176854,0.32477428664348523,
17,1124.47,32.49132,-94.83458,69.4,0.04298,2.27,31.795554498999994,892.6812591645405,1694.174718741014,0.31497434505934724,
18,2364.78,32.30692,-94.66516,122.46,0.04283,2.3,31.537172598999994,905.6921463016549,1722.415095992412,0.30910099635994986,
19,2013.4,32.6804,-94.2828,105.8,0.0424,2.07,29.95133449899999,962.0357813228082,1850.7516521444188,0.28406140341126396,
20,3428.8,32.4382,-94.58102,165.78,0.04224,2.35,29.93188639899999,983.0815776302123,1893.1542376877603,0.2773952988363443,
21,3637.8,31.9197,-94.549,173.3,0.042,2.02,29.912438298999987,961.2242266801092,1849.4984869306813,0.2842026261441336,
22,3929.3,32.6775,-94.9812,184.7,0.042,2.12,29.366612598999996,994.5679835525261,1922.3983802706546,0.272086232993015,
23,2135.7,32.1338,-94.3136,110.7,0.0419,2.04,29.437172598999993,985.7997415921675,1903.9604478911008,0.2749517331416468,
24,2589.9,31.0513,-93.7674,129.5,0.0417,1.97,29.181392598999995,994.2417414288406,1923.7506723559036,0.2715948917754504,
25,2365.2,30.6835,-94.076,119.7,0.0415,1.91,29.14249639899999,992.8834213893912,1921.4151030224546,0.2718807365360456,
