well,depth_m,latitude,longitude,bhtcorrected_temp_C,thermal_gradient_K_m,k_W_mK,optMdot,lcoe_b_USD,lcoe_g_USD,power_MW,error
0,3879.3,32.8002,-93.1672,193.0,0.044700000000000004,2.09,0.0,0.0,0.0,0.0,GenGeo::DownHolePump:ExceedsMaxProductionPumpPressure - Exceeds Max Pump Pressure of 2.570 MPa!
1,3929.3,32.6775,-94.9812,184.7,0.042,2.12,0.0,0.0,0.0,0.0,GenGeo::DownHolePump:ExceedsMaxProductionPumpPressure - Exceeds Max Pump Pressure of 2.570 MPa!
2,3647.9,32.8002,-93.1672,167.8,0.0407,2.09,0.0,0.0,0.0,0.0,GenGeo::DownHolePump:ExceedsMaxProductionPumpPressure - Exceeds Max Pump Pressure of 2.570 MPa!
3,3595.1,32.6775,-94.9812,161.1,0.0394,2.12,97.1016706990001,155.42778810188432,245.62896492270463,4.04814663873945,
4,3514.0,32.5311,-94.62969,158.0,0.039020000000000006,2.35,93.04539259900012,167.03273142908787,267.4997429470639,3.5449648135991327,
5,3274.7,32.7832,-93.4002,154.3,0.0412,2.1,0.0,0.0,0.0,0.0,GenGeo::DownHolePump:ExceedsMaxProductionPumpPressure - Exceeds Max Pump Pressure of 2.570 MPa!
6,3879.28,32.53559,-94.82366,151.29,0.03359,2.36,0.0,0.0,0.0,0.0,GenGeo::DownHolePump:ExceedsMaxProductionPumpPressure - Exceeds Max Pump Pressure of 2.570 MPa!
7,3755.25,32.58534,-94.69041,151.24,0.03472,2.37,0.0,0.0,0.0,0.0,GenGeo::DownHolePump:ExceedsMaxProductionPumpPressure - Exceeds Max Pump Pressure of 2.570 MPa!
8,3398.0,32.56314,-94.82131,151.0,0.038270000000000005,2.35,0.0,0.0,0.0,0.0,GenGeo::DownHolePump:ExceedsMaxProductionPumpPressure - Exceeds Max Pump Pressure of 2.570 MPa!
9,3380.95,32.51575,-94.83413,150.11,0.03818,2.35,0.0,0.0,0.0,0.0,GenGeo::DownHolePump:ExceedsMaxProductionPumpPressure - Exceeds Max Pump Pressure of 2.570 MPa!
10,3696.3,32.6803,-94.9829,150.1,0.035,2.07,0.0,0.0,0.0,0.0,GenGeo::DownHolePump:ExceedsMaxProductionPumpPressure - Exceeds Max Pump Pressure of 2.570 MPa!
11,3498.06,32.55336,-94.56122,149.81,0.03688,2.36,0.0,0.0,0.0,0.0,GenGeo::DownHolePump:ExceedsMaxProductionPumpPressure - Exceeds Max Pump Pressure of 2.570 MPa!
12,3399.84,32.51843,-94.75825,149.05,0.03767,2.34,0.0,0.0,0.0,0.0,GenGeo::DownHolePump:ExceedsMaxProductionPumpPressure - Exceeds Max Pump Pressure of 2.570 MPa!
13,3300.0,32.55275,-94.72241,149.0,0.038810000000000004,2.35,0.0,0.0,0.0,0.0,GenGeo::DownHolePump:ExceedsMaxProductionPumpPressure - Exceeds Max Pump Pressure of 2.570 MPa!
14,3657.6,32.6806,-94.9755,147.8,0.0347,2.07,87.3380025990001,205.93664289299318,345.24249961238627,2.671466598034461,
