well,depth_m,latitude,longitude,bhtcorrected_temp_C,thermal_gradient_K_m,k_W_mK,optMdot,lcoe_b_USD,lcoe_g_USD,power_MW,error
32,2227.1,33.4578,-93.7058,110.3,0.041,2.18,0.0,0.0,0.0,0.0,GenGeo::DownHolePump:ExceedsMaxProductionPumpPressure - Exceeds Max Pump Pressure of 15.000 MPa!
33,2226.5,33.4501,-93.7168,110.3,0.041,2.18,0.0,0.0,0.0,0.0,GenGeo::DownHolePump:ExceedsMaxProductionPumpPressure - Exceeds Max Pump Pressure of 15.000 MPa!
34,982.6,33.4287,-93.9445,59.2,0.0409,2.18,178.64861259900005,118.72585873358423,163.1305906410781,9.269576804139529,
35,2454.18,32.42982,-94.78846,121.42,0.04087,2.3,179.31372879900007,115.28996358465942,157.64770417713808,9.717540811344143,
36,2893.6,32.0238,-94.3185,139.5,0.040799999999999996,2.03,179.01645069900005,115.93964832197096,158.69318754346074,9.627578918117855,
37,3112.0,32.3553,-94.61178,148.0,0.040780000000000004,2.36,0.0,0.0,0.0,0.0,GenGeo::DownHolePump:ExceedsMaxProductionPumpPressure - Exceeds Max Pump Pressure of 15.000 MPa!
38,3647.9,32.8002,-93.1672,167.8,0.0407,2.09,0.0,0.0,0.0,0.0,GenGeo::DownHolePump:ExceedsMaxProductionPumpPressure - Exceeds Max Pump Pressure of 15.000 MPa!
39,3145.0,32.33463,-94.55943,149.0,0.04068,2.35,0.0,0.0,0.0,0.0,GenGeo::DownHolePump:ExceedsMaxProductionPumpPressure - Exceeds Max Pump Pressure of 15.000 MPa!
40,2042.7,32.4027,-94.1788,103.8,0.040600000000000004,2.05,0.0,0.0,0.0,0.0,GenGeo::DownHolePump:ExceedsMaxProductionPumpPressure - Exceeds Max Pump Pressure of 15.000 MPa!
41,3302.25,32.4312,-94.57432,154.91,0.04056,2.34,0.0,0.0,0.0,0.0,GenGeo::DownHolePump:ExceedsMaxProductionPumpPressure - Exceeds Max Pump Pressure of 15.000 MPa!
42,3416.8,30.8519,-94.3535,159.6,0.0404,1.93,0.0,0.0,0.0,0.0,GenGeo::DownHolePump:ExceedsMaxProductionPumpPressure - Exceeds Max Pump Pressure of 15.000 MPa!
43,2324.48,32.32195,-94.66361,114.95,0.040350000000000004,2.3,178.62916449900004,119.09574420353175,163.71803933057734,9.224381482660688,
44,3419.67,32.37636,-94.82854,159.09,0.04032,2.35,0.0,0.0,0.0,0.0,GenGeo::DownHolePump:ExceedsMaxProductionPumpPressure - Exceeds Max Pump Pressure of 15.000 MPa!
45,2140.2,32.1346,-94.2621,107.4,0.040299999999999996,2.04,0.0,0.0,0.0,0.0,GenGeo::DownHolePump:ExceedsMaxProductionPumpPressure - Exceeds Max Pump Pressure of 15.000 MPa!
46,2618.9,32.3838,-95.095,126.9,0.040299999999999996,2.06,0.0,0.0,0.0,0.0,GenGeo::DownHolePump:ExceedsMaxProductionPumpPressure - Exceeds Max Pump Pressure of 15.000 MPa!
47,2509.9,32.57,-94.78284,121.79,0.04018,2.3,0.0,0.0,0.0,0.0,GenGeo::DownHolePump:ExceedsMaxProductionPumpPressure - Exceeds Max Pump Pressure of 15.000 MPa!
48,3207.3,30.5526,-95.017,151.3,0.040100000000000004,1.97,0.0,0.0,0.0,0.0,GenGeo::DownHolePump:ExceedsMaxProductionPumpPressure - Exceeds Max Pump Pressure of 15.000 MPa!
49,3739.9,30.9345,-94.7213,172.3,0.040100000000000004,1.98,0.0,0.0,0.0,0.0,GenGeo::DownHolePump:ExceedsMaxProductionPumpPressure - Exceeds Max Pump Pressure of 15.000 MPa!
50,3242.13,32.39758,-94.53929,150.85,0.040060000000000005,2.34,179.01645069900005,121.44655816825934,167.399289057459,8.957314721430022,
51,2433.8,31.7767,-94.7667,119.1,0.04,2.01,0.0,0.0,0.0,0.0,GenGeo::DownHolePump:ExceedsMaxProductionPumpPressure - Exceeds Max Pump Pressure of 15.000 MPa!
