well,depth_m,latitude,longitude,bhtcorrected_temp_C,thermal_gradient_K_m,k_W_mK,optMdot,lcoe_b_USD,lcoe_g_USD,power_MW,error
0,5538.7,30.6361,-95.3651,205.2,0.0329,1.98,0.0,0.0,0.0,0.0,"solver_rho_Tp was unable to find a solution for T=   478.473 -  p=-5.76223e+08 -  with guess value    -144845 with error: The molar density of -144845.117557 mol/m3 is below the minimum of 0.000000 mol/m3 : PropsSI(""HMASS"" - ""P"" - -576223435.7 - ""T"" - 478.4732237 - ""water"")"
1,5187.8,30.6815,-94.8103,202.4,0.0347,1.97,0.0,0.0,0.0,0.0,"solver_rho_Tp was unable to find a solution for T=   475.667 -  p=-5.89556e+08 -  with guess value    -149071 with error: The molar density of -149070.915119 mol/m3 is below the minimum of 0.000000 mol/m3 : PropsSI(""HMASS"" - ""P"" - -589555974.8 - ""T"" - 475.6666567 - ""water"")"
2,4633.2,30.8095,-94.8958,199.7,0.038299999999999994,1.98,0.0,0.0,0.0,0.0,"solver_rho_Tp was unable to find a solution for T=   473.002 -  p=-6.08101e+08 -  with guess value    -154626 with error: The molar density of -154626.483746 mol/m3 is below the minimum of 0.000000 mol/m3 : PropsSI(""HMASS"" - ""P"" - -608101207.3 - ""T"" - 473.0015539 - ""water"")"
3,4878.0,30.6731,-94.5637,199.1,0.0363,1.97,0.0,0.0,0.0,0.0,"solver_rho_Tp was unable to find a solution for T=   472.421 -  p=-6.02567e+08 -  with guess value    -153407 with error: The molar density of -153407.343535 mol/m3 is below the minimum of 0.000000 mol/m3 : PropsSI(""HMASS"" - ""P"" - -602566699.7 - ""T"" - 472.4213968 - ""water"")"
4,4139.3,30.8416,-94.7266,193.5,0.0414,1.98,0.0,0.0,0.0,0.0,"solver_rho_Tp was unable to find a solution for T=   466.717 -  p=-6.3124e+08 -  with guess value    -162671 with error: The molar density of -162671.412003 mol/m3 is below the minimum of 0.000000 mol/m3 : PropsSI(""HMASS"" - ""P"" - -631239675.7 - ""T"" - 466.7170142 - ""water"")"
5,4724.1,30.7657,-95.2341,193.5,0.0361,1.98,0.0,0.0,0.0,0.0,"solver_rho_Tp was unable to find a solution for T=    466.49 -  p=-6.16417e+08 -  with guess value    -158929 with error: The molar density of -158928.954996 mol/m3 is below the minimum of 0.000000 mol/m3 : PropsSI(""HMASS"" - ""P"" - -616417256.4 - ""T"" - 466.4900041 - ""water"")"
6,3879.3,32.8002,-93.1672,193.0,0.044700000000000004,2.09,0.0,0.0,0.0,0.0,"solver_rho_Tp was unable to find a solution for T=   465.899 -  p=-6.33741e+08 -  with guess value    -163602 with error: The molar density of -163602.482459 mol/m3 is below the minimum of 0.000000 mol/m3 : PropsSI(""HMASS"" - ""P"" - -633740538.1 - ""T"" - 465.8994319 - ""water"")"
7,3642.0,32.38374,-94.73103,192.0,0.04690999999999999,2.34,0.0,0.0,0.0,0.0,"solver_rho_Tp was unable to find a solution for T=   464.664 -  p=-6.36282e+08 -  with guess value    -164695 with error: The molar density of -164695.214979 mol/m3 is below the minimum of 0.000000 mol/m3 : PropsSI(""HMASS"" - ""P"" - -636282328.7 - ""T"" - 464.6644661 - ""water"")"
8,4695.7,30.6776,-95.4402,188.5,0.0352,1.98,0.0,0.0,0.0,0.0,"solver_rho_Tp was unable to find a solution for T=   461.539 -  p=-6.25744e+08 -  with guess value    -163064 with error: The molar density of -163064.319444 mol/m3 is below the minimum of 0.000000 mol/m3 : PropsSI(""HMASS"" - ""P"" - -625743606.7 - ""T"" - 461.5386343 - ""water"")"
9,4302.1,30.9274,-93.7976,188.0,0.038700000000000005,1.97,0.0,0.0,0.0,0.0,"solver_rho_Tp was unable to find a solution for T=   461.141 -  p=-6.35423e+08 -  with guess value    -165729 with error: The molar density of -165729.484441 mol/m3 is below the minimum of 0.000000 mol/m3 : PropsSI(""HMASS"" - ""P"" - -635423373.7 - ""T"" - 461.1412671 - ""water"")"
10,4422.3,30.8438,-94.3533,188.0,0.0375,1.97,0.0,0.0,0.0,0.0,"solver_rho_Tp was unable to find a solution for T=   460.986 -  p=-6.32994e+08 -  with guess value    -165151 with error: The molar density of -165151.495590 mol/m3 is below the minimum of 0.000000 mol/m3 : PropsSI(""HMASS"" - ""P"" - -632994444 - ""T"" - 460.9862471 - ""water"")"
11,4610.7,30.8821,-93.896,184.7,0.0354,1.96,0.0,0.0,0.0,0.0,"solver_rho_Tp was unable to find a solution for T=   457.969 -  p=-6.33202e+08 -  with guess value    -166294 with error: The molar density of -166294.214660 mol/m3 is below the minimum of 0.000000 mol/m3 : PropsSI(""HMASS"" - ""P"" - -633202221.9 - ""T"" - 457.9687785 - ""water"")"
12,3929.3,32.6775,-94.9812,184.7,0.042,2.12,0.0,0.0,0.0,0.0,"solver_rho_Tp was unable to find a solution for T=   459.045 -  p=-6.4382e+08 -  with guess value    -168686 with error: The molar density of -168686.075404 mol/m3 is below the minimum of 0.000000 mol/m3 : PropsSI(""HMASS"" - ""P"" - -643819726.4 - ""T"" - 459.0453863 - ""water"")"
13,3739.6,31.9197,-94.549,184.0,0.0437,2.02,0.0,0.0,0.0,0.0,"solver_rho_Tp was unable to find a solution for T=    458.04 -  p=-6.54176e+08 -  with guess value    -171776 with error: The molar density of -171775.501824 mol/m3 is below the minimum of 0.000000 mol/m3 : PropsSI(""HMASS"" - ""P"" - -654175806.7 - ""T"" - 458.0404519 - ""water"")"
14,3945.7,32.35667,-94.64604,183.51,0.041159999999999995,2.38,0.0,0.0,0.0,0.0,"solver_rho_Tp was unable to find a solution for T=   456.273 -  p=-6.40417e+08 -  with guess value    -168814 with error: The molar density of -168814.344261 mol/m3 is below the minimum of 0.000000 mol/m3 : PropsSI(""HMASS"" - ""P"" - -640417401.1 - ""T"" - 456.2725687 - ""water"")"
15,4729.3,30.6814,-94.6912,183.0,0.034,1.97,0.0,0.0,0.0,0.0,"solver_rho_Tp was unable to find a solution for T=   456.246 -  p=-6.33646e+08 -  with guess value    -167039 with error: The molar density of -167039.057285 mol/m3 is below the minimum of 0.000000 mol/m3 : PropsSI(""HMASS"" - ""P"" - -633646012.2 - ""T"" - 456.2461971 - ""water"")"
16,4693.0,30.6938,-94.6943,181.9,0.034,1.97,0.0,0.0,0.0,0.0,"solver_rho_Tp was unable to find a solution for T=   455.012 -  p=-6.36763e+08 -  with guess value    -168316 with error: The molar density of -168316.182395 mol/m3 is below the minimum of 0.000000 mol/m3 : PropsSI(""HMASS"" - ""P"" - -636763466.2 - ""T"" - 455.0119972 - ""water"")"
17,4607.0,30.7035,-94.6572,179.1,0.034,1.97,0.0,0.0,0.0,0.0,"solver_rho_Tp was unable to find a solution for T=   452.088 -  p=-6.44207e+08 -  with guess value    -171385 with error: The molar density of -171385.114299 mol/m3 is below the minimum of 0.000000 mol/m3 : PropsSI(""HMASS"" - ""P"" - -644207079.9 - ""T"" - 452.0879972 - ""water"")"
18,4618.9,30.6826,-94.6836,179.1,0.0339,1.97,0.0,0.0,0.0,0.0,"solver_rho_Tp was unable to find a solution for T=   452.031 -  p=-6.4402e+08 -  with guess value    -171357 with error: The molar density of -171357.154214 mol/m3 is below the minimum of 0.000000 mol/m3 : PropsSI(""HMASS"" - ""P"" - -644020360.1 - ""T"" - 452.0307072 - ""water"")"
19,4342.7,30.7348,-94.6705,174.7,0.0351,1.97,0.0,0.0,0.0,0.0,"solver_rho_Tp was unable to find a solution for T=   447.879 -  p=-6.58478e+08 -  with guess value    -176828 with error: The molar density of -176828.213251 mol/m3 is below the minimum of 0.000000 mol/m3 : PropsSI(""HMASS"" - ""P"" - -658478275.2 - ""T"" - 447.8787674 - ""water"")"
20,3902.4,30.5614,-94.515,174.1,0.0389,1.96,0.0,0.0,0.0,0.0,"solver_rho_Tp was unable to find a solution for T=   447.253 -  p=-6.70771e+08 -  with guess value    -180381 with error: The molar density of -180381.150255 mol/m3 is below the minimum of 0.000000 mol/m3 : PropsSI(""HMASS"" - ""P"" - -670770849.6 - ""T"" - 447.2533587 - ""water"")"
21,4333.2,30.7326,-94.6562,173.5,0.0349,1.97,0.0,0.0,0.0,0.0,"solver_rho_Tp was unable to find a solution for T=   446.679 -  p=-6.60965e+08 -  with guess value    -177973 with error: The molar density of -177972.757010 mol/m3 is below the minimum of 0.000000 mol/m3 : PropsSI(""HMASS"" - ""P"" - -660964551 - ""T"" - 446.6786774 - ""water"")"
22,3637.8,31.9197,-94.549,173.3,0.042,2.02,0.0,0.0,0.0,0.0,"solver_rho_Tp was unable to find a solution for T=   447.408 -  p=-6.74919e+08 -  with guess value    -181434 with error: The molar density of -181434.063711 mol/m3 is below the minimum of 0.000000 mol/m3 : PropsSI(""HMASS"" - ""P"" - -674918827.6 - ""T"" - 447.4075385 - ""water"")"
23,3969.5,30.8785,-94.4788,173.0,0.038,1.97,0.0,0.0,0.0,0.0,"solver_rho_Tp was unable to find a solution for T=   445.991 -  p=-6.70856e+08 -  with guess value    -180915 with error: The molar density of -180914.552913 mol/m3 is below the minimum of 0.000000 mol/m3 : PropsSI(""HMASS"" - ""P"" - -670855545 - ""T"" - 445.9909975 - ""water"")"
24,4970.7,30.5403,-94.6683,172.4,0.030199999999999998,1.96,0.0,0.0,0.0,0.0,"solver_rho_Tp was unable to find a solution for T=   445.765 -  p=-6.48194e+08 -  with guess value    -174892 with error: The molar density of -174891.801836 mol/m3 is below the minimum of 0.000000 mol/m3 : PropsSI(""HMASS"" - ""P"" - -648193947.3 - ""T"" - 445.7651385 - ""water"")"
25,3739.9,30.9345,-94.7213,172.3,0.040100000000000004,1.98,0.0,0.0,0.0,0.0,"solver_rho_Tp was unable to find a solution for T=    445.32 -  p=-6.77734e+08 -  with guess value    -183045 with error: The molar density of -183045.005210 mol/m3 is below the minimum of 0.000000 mol/m3 : PropsSI(""HMASS"" - ""P"" - -677734333.1 - ""T"" - 445.3199853 - ""water"")"
26,3866.37,32.43492,-94.67283,171.84,0.039009999999999996,2.38,0.0,0.0,0.0,0.0,"solver_rho_Tp was unable to find a solution for T=    444.65 -  p=-6.64155e+08 -  with guess value    -179648 with error: The molar density of -179647.616084 mol/m3 is below the minimum of 0.000000 mol/m3 : PropsSI(""HMASS"" - ""P"" - -664155076.8 - ""T"" - 444.6503312 - ""water"")"
27,4538.4,30.6814,-94.6912,169.1,0.032299999999999995,1.97,0.0,0.0,0.0,0.0,"solver_rho_Tp was unable to find a solution for T=    442.04 -  p=-6.65138e+08 -  with guess value    -180976 with error: The molar density of -180975.913851 mol/m3 is below the minimum of 0.000000 mol/m3 : PropsSI(""HMASS"" - ""P"" - -665138487.5 - ""T"" - 442.0403174 - ""water"")"
28,3747.0,30.5516,-94.8048,168.4,0.0389,1.97,0.0,0.0,0.0,0.0,"solver_rho_Tp was unable to find a solution for T=   441.508 -  p=-6.85227e+08 -  with guess value    -186667 with error: The molar density of -186666.527607 mol/m3 is below the minimum of 0.000000 mol/m3 : PropsSI(""HMASS"" - ""P"" - -685227425.7 - ""T"" - 441.5082976 - ""water"")"
29,4072.9,30.8821,-93.896,168.0,0.0359,1.96,0.0,0.0,0.0,0.0,"solver_rho_Tp was unable to find a solution for T=   440.967 -  p=-6.77725e+08 -  with guess value    -184849 with error: The molar density of -184849.445649 mol/m3 is below the minimum of 0.000000 mol/m3 : PropsSI(""HMASS"" - ""P"" - -677725408.1 - ""T"" - 440.9671087 - ""water"")"
30,3647.9,32.8002,-93.1672,167.8,0.0407,2.09,0.0,0.0,0.0,0.0,"solver_rho_Tp was unable to find a solution for T=   440.965 -  p=-6.82807e+08 -  with guess value    -186236 with error: The molar density of -186236.350563 mol/m3 is below the minimum of 0.000000 mol/m3 : PropsSI(""HMASS"" - ""P"" - -682807385.3 - ""T"" - 440.965222 - ""water"")"
31,4835.1,32.4697,-95.2691,165.8,0.0299,2.07,0.0,0.0,0.0,0.0,"solver_rho_Tp was unable to find a solution for T=   438.918 -  p=-6.60897e+08 -  with guess value    -181101 with error: The molar density of -181101.201852 mol/m3 is below the minimum of 0.000000 mol/m3 : PropsSI(""HMASS"" - ""P"" - -660897472 - ""T"" - 438.9179479 - ""water"")"
32,3428.8,32.4382,-94.58102,165.78,0.04224,2.35,0.0,0.0,0.0,0.0,"solver_rho_Tp was unable to find a solution for T=   438.559 -  p=-6.88209e+08 -  with guess value    -188740 with error: The molar density of -188739.736891 mol/m3 is below the minimum of 0.000000 mol/m3 : PropsSI(""HMASS"" - ""P"" - -688209371.4 - ""T"" - 438.5587887 - ""water"")"
33,3811.6,32.39271,-94.7845,165.72,0.03793,2.35,0.0,0.0,0.0,0.0,"solver_rho_Tp was unable to find a solution for T=    438.52 -  p=-6.78656e+08 -  with guess value    -186136 with error: The molar density of -186136.394490 mol/m3 is below the minimum of 0.000000 mol/m3 : PropsSI(""HMASS"" - ""P"" - -678656233.3 - ""T"" - 438.5197188 - ""water"")"
34,3906.1,30.9552,-93.9005,164.7,0.0366,1.93,0.0,0.0,0.0,0.0,"solver_rho_Tp was unable to find a solution for T=   437.643 -  p=-6.88828e+08 -  with guess value    -189304 with error: The molar density of -189304.483605 mol/m3 is below the minimum of 0.000000 mol/m3 : PropsSI(""HMASS"" - ""P"" - -688827635.6 - ""T"" - 437.6432598 - ""water"")"
35,4416.5,32.4697,-95.2691,162.4,0.032,2.07,0.0,0.0,0.0,0.0,"solver_rho_Tp was unable to find a solution for T=   435.677 -  p=-6.77389e+08 -  with guess value    -187001 with error: The molar density of -187001.194618 mol/m3 is below the minimum of 0.000000 mol/m3 : PropsSI(""HMASS"" - ""P"" - -677388771.5 - ""T"" - 435.6765594 - ""water"")"
36,3970.7,31.8179,-94.7663,161.9,0.0356,2.02,0.0,0.0,0.0,0.0,"solver_rho_Tp was unable to find a solution for T=   436.217 -  p=-6.88263e+08 -  with guess value    -189768 with error: The molar density of -189767.739884 mol/m3 is below the minimum of 0.000000 mol/m3 : PropsSI(""HMASS"" - ""P"" - -688262728.8 - ""T"" - 436.2168614 - ""water"")"
37,3595.1,32.6775,-94.9812,161.1,0.0394,2.12,0.0,0.0,0.0,0.0,"solver_rho_Tp was unable to find a solution for T=   435.666 -  p=-6.95251e+08 -  with guess value    -191937 with error: The molar density of -191936.733609 mol/m3 is below the minimum of 0.000000 mol/m3 : PropsSI(""HMASS"" - ""P"" - -695250513.9 - ""T"" - 435.6661328 - ""water"")"
38,3053.56,32.3483,-94.82097,160.74,0.045689999999999995,2.32,0.0,0.0,0.0,0.0,"solver_rho_Tp was unable to find a solution for T=   433.507 -  p=-7.08753e+08 -  with guess value    -196639 with error: The molar density of -196638.937425 mol/m3 is below the minimum of 0.000000 mol/m3 : PropsSI(""HMASS"" - ""P"" - -708752653.6 - ""T"" - 433.506647 - ""water"")"
39,3989.46,32.35129,-94.69189,160.71,0.03498,2.37,0.0,0.0,0.0,0.0,"solver_rho_Tp was unable to find a solution for T=   433.525 -  p=-6.8449e+08 -  with guess value    -189900 with error: The molar density of -189899.559917 mol/m3 is below the minimum of 0.000000 mol/m3 : PropsSI(""HMASS"" - ""P"" - -684490242.8 - ""T"" - 433.5247389 - ""water"")"
40,3757.3,32.1491,-95.1434,160.7,0.037,2.05,0.0,0.0,0.0,0.0,"solver_rho_Tp was unable to find a solution for T=    433.67 -  p=-6.97586e+08 -  with guess value    -193468 with error: The molar density of -193468.058702 mol/m3 is below the minimum of 0.000000 mol/m3 : PropsSI(""HMASS"" - ""P"" - -697586058.1 - ""T"" - 433.6697206 - ""water"")"
