database,api,permit,longitude,latitude,surface_interval_id,depth,uncor_bht,harrison_correction,bhtcorrected_temp,surface_temp,harrison_gradient,reference_data_set,state,k_source,k_section,resistance,k,q_calculated,quality,basement_depth,correction,bht_well,well_ave_hf,file_number,operation_name,drilling_start,drilling_complete,tsc,state_plane_meter_x_coordinate,state_plane_meter_y_coordinate,company_name,well_type,well_status,field_name,formation,elevation_measured,elevation_ft,elevation_m,county_name,surface_id,bottom_id,,,
SMU-Google BHT Heat Flow,,,-88.3526,31.8686,AL-BHT-000011-a,1640.2,62.8,7.1,69.9,19.9,30.5,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",AL,Estimate: Blackwell Gulf Coast K Model,,,2.05,63,BHT-C,,Harrison,1,63,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,,,,,,
SMU-Google BHT Heat Flow,,,-88.3476,32.5712,AL-BHT-000012-a,797.9,43.3,-3.4,39.9,19.6,25.4,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",AL,Estimate: Blackwell Gulf Coast K Model,,,2.09,53,BHT-C,,Harrison,1,53,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,,,,,,
SMU-Google BHT Heat Flow,,,-88.3404,31.4931,AL-BHT-000013-a,3118.6,87.2,17.7,104.9,20.2,27.2,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",AL,Estimate: Blackwell Gulf Coast K Model,,,2.02,55,BHT-C,,Harrison,1,55,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,,,,,,
SMU-Google BHT Heat Flow,,,-88.3278,31.4528,AL-BHT-000014-a,2119.2,60,11.7,71.7,20.2,24.3,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",AL,Estimate: Blackwell Gulf Coast K Model,,,2.01,49,BHT-C,,Harrison,1,49,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,,,,,,
SMU-Google BHT Heat Flow,,,-88.321,31.9661,AL-BHT-000015-a,3400,82.2,18.5,100.7,19.9,23.8,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",AL,Estimate: Blackwell Gulf Coast K Model,,,2.06,49,BHT-C,,Harrison,1,49,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,,,,,,
SMU-Google BHT Heat Flow,,,-88.3195,31.7584,AL-BHT-000016-a,1722,57.8,8,65.8,20,26.6,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",AL,Estimate: Blackwell Gulf Coast K Model,,,2.04,54,BHT-C,,Harrison,1,54,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,,,,,,
SMU-Google BHT Heat Flow,,,-88.3061,32.9839,AL-BHT-000017-a,718.3,42.2,-4.6,37.6,19.5,25.2,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",AL,Estimate: Blackwell Gulf Coast K Model,,,2.1,53,BHT-C,,Harrison,1,53,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,,,,,,
SMU-Google BHT Heat Flow,,,-88.2896,31.2626,AL-BHT-000018-a,2481.1,70,14.4,84.4,20.3,25.8,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",AL,Estimate: Blackwell Gulf Coast K Model,,,2,52,BHT-C,,Harrison,1,52,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,,,,,,
SMU-Google BHT Heat Flow,,,-88.288,32.0002,AL-BHT-000019-a,3429.6,87.8,18.6,106.4,19.9,25.2,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",AL,Estimate: Blackwell Gulf Coast K Model,,,2.06,52,BHT-C,,Harrison,1,52,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,,,,,,
SMU-Google BHT Heat Flow,,,-88.2868,32.0851,AL-BHT-000020-a,1372.9,47.8,4.1,51.9,19.9,23.3,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",AL,Estimate: Blackwell Gulf Coast K Model,,,2.06,48,BHT-C,,Harrison,1,48,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,,,,,,
