database,api,permit,longitude,latitude,surface_interval_id,depth,uncor_bht,harrison_correction,bhtcorrected_temp,surface_temp,harrison_gradient,reference_data_set,state,k_source,k_section,resistance,k,q_calculated,quality,basement_depth,correction,bht_well,well_ave_hf,file_number,operation_name,drilling_start,drilling_complete,tsc,state_plane_meter_x_coordinate,state_plane_meter_y_coordinate,company_name,well_type,well_status,field_name,formation,elevation_measured,elevation_ft,elevation_m,county_name,surface_id,bottom_id,,,
SMU-Google BHT Heat Flow,5.07109E+12,,-104.8402,37.2663,CO-BHT-000322-b,931.2,60,-1.5,58.5,12.5,49.4,"Pioneer Natural Resources, data exchange in 2011.",CO,Estimate: COSUNA section - CSR 25,,328.5,2.83,140,BHT-G,2434.6,Harrison,2,77,,,,,,,,,Oil or Gas Well,Unknown,,,,,,,,,,,
SMU-Google BHT Heat Flow,5.07109E+12,,-104.8401,37.3034,CO-BHT-000323-a,923.5,61.1,-1.6,59.5,12.5,50.9,"Pioneer Natural Resources, data exchange in 2011.",CO,Estimate: COSUNA section - CSR 25,,325.8,2.84,145,BHT-G,2411.8,Harrison,1,,,,,,,,,,Oil or Gas Well,Unknown,,,,,,,,,,,
SMU-Google BHT Heat Flow,5.07109E+12,,-104.8401,37.266,CO-BHT-000324-a,716.3,37.8,-4.6,33.2,12.5,28.9,"Pioneer Natural Resources, data exchange in 2011.",CO,Estimate: COSUNA section - CSR 25,,258.8,2.77,80,BHT-C,2434.6,Harrison,2,80,,,,,,,,,Oil or Gas Well,Unknown,,,,,,,,,,,
SMU-Google BHT Heat Flow,5.07109E+12,,-104.8401,37.266,CO-BHT-000324-b,716.3,46.7,-4.6,42.1,12.5,41.3,"Pioneer Natural Resources, data exchange in 2011.",CO,Estimate: COSUNA section - CSR 25,,258.8,2.77,114,BHT-G,2434.6,Harrison,2,80,,,,,,,,,Oil or Gas Well,Unknown,,,,,,,,,,,
SMU-Google BHT Heat Flow,5.07108E+12,,-104.8395,37.2444,CO-BHT-000325-a,795.5,44.4,-3.5,40.9,12.5,35.7,"Pioneer Natural Resources, data exchange in 2011.",CO,Estimate: COSUNA section - CSR 25,,284.2,2.8,100,BHT-G,2435.4,Harrison,2,,,,,,,,,,Oil or Gas Well,Unknown,,,,,,,,,,,
SMU-Google BHT Heat Flow,5.07108E+12,,-104.8395,37.2444,CO-BHT-000325-b,795.5,55.6,-3.5,52.1,12.5,49.8,"Pioneer Natural Resources, data exchange in 2011.",CO,Estimate: COSUNA section - CSR 25,,284.2,2.8,139,BHT-G,2435.4,Harrison,2,,,,,,,,,,Oil or Gas Well,Unknown,,,,,,,,,,,
SMU-Google BHT Heat Flow,5.07109E+12,,-104.8393,37.1955,CO-BHT-000326-a,701,56.7,-4.9,51.8,12.5,56.1,"Pioneer Natural Resources, data exchange in 2011.",CO,Estimate: COSUNA section - CSR 25,,253.9,2.76,155,BHT-G,2423.6,Harrison,1,,,,,,,,,,Oil or Gas Well,Unknown,,,,,,,,,,,
SMU-Google BHT Heat Flow,5.07108E+12,,-104.838,37.2004,CO-BHT-000327-a,690.4,48.9,-5,43.9,12.5,45.5,"Pioneer Natural Resources, data exchange in 2011.",CO,Estimate: COSUNA section - CSR 25,,250.5,2.76,126,BHT-G,2429.5,Harrison,2,,,,,,,,,,Oil or Gas Well,Unknown,,,,,,,,,,,
SMU-Google BHT Heat Flow,5.07108E+12,,-104.838,37.2004,CO-BHT-000327-b,690.4,54.4,-5,49.4,12.5,53.4,"Pioneer Natural Resources, data exchange in 2011.",CO,Estimate: COSUNA section - CSR 25,,250.5,2.76,147,BHT-G,2429.5,Harrison,2,,,,,,,,,,Oil or Gas Well,Unknown,,,,,,,,,,,
SMU-Google BHT Heat Flow,5.07108E+12,,-104.8378,37.1589,CO-BHT-000328-a,661.4,47.8,-5.5,42.3,12.5,45.1,"Pioneer Natural Resources, data exchange in 2011.",CO,Estimate: COSUNA section - CSR 25,,241.2,2.74,124,BHT-G,2386.2,Harrison,2,,,,,,,,,,Oil or Gas Well,Unknown,,,,,,,,,,,
SMU-Google BHT Heat Flow,5.07108E+12,,-104.8378,37.1589,CO-BHT-000328-b,661.4,51.1,-5.5,45.6,12.5,50,"Pioneer Natural Resources, data exchange in 2011.",CO,Estimate: COSUNA section - CSR 25,,241.2,2.74,137,BHT-G,2386.2,Harrison,2,,,,,,,,,,Oil or Gas Well,Unknown,,,,,,,,,,,
SMU-Google BHT Heat Flow,5.07108E+12,,-104.8377,37.2206,CO-BHT-000329-a,693.4,56.7,-5,51.7,12.5,56.5,"Pioneer Natural Resources, data exchange in 2011.",CO,Estimate: COSUNA section - CSR 25,,251.5,2.76,156,BHT-G,2437.3,Harrison,1,,,,,,,,,,Oil or Gas Well,Unknown,,,,,,,,,,,
SMU-Google BHT Heat Flow,5.07108E+12,,-104.8371,37.2889,CO-BHT-000330-a,838.2,44.4,-2.8,41.6,12.5,34.7,"Pioneer Natural Resources, data exchange in 2011.",CO,Estimate: COSUNA section - CSR 25,,297.9,2.81,98,BHT-G,2432.7,Harrison,2,,,,,,,,,,Oil or Gas Well,Unknown,,,,,,,,,,,
SMU-Google BHT Heat Flow,5.07108E+12,,-104.8371,37.2889,CO-BHT-000330-b,838.2,57.8,-2.8,55,12.5,50.7,"Pioneer Natural Resources, data exchange in 2011.",CO,Estimate: COSUNA section - CSR 25,,297.9,2.81,142,BHT-G,2432.7,Harrison,2,,,,,,,,,,Oil or Gas Well,Unknown,,,,,,,,,,,
SMU-Google BHT Heat Flow,5.07109E+12,,-104.837,37.2993,CO-BHT-000331-a,975.4,53.3,-0.9,52.4,12.5,40.9,"Pioneer Natural Resources, data exchange in 2011.",CO,Estimate: COSUNA section - CSR 25,,344.4,2.83,116,BHT-G,2417.9,Harrison,2,,,,,,,,,,Oil or Gas Well,Unknown,,,,,,,,,,,
SMU-Google BHT Heat Flow,5.07109E+12,,-104.837,37.2993,CO-BHT-000331-b,975.4,61.7,-0.9,60.8,12.5,49.5,"Pioneer Natural Resources, data exchange in 2011.",CO,Estimate: COSUNA section - CSR 25,,344.4,2.83,140,BHT-G,2417.9,Harrison,2,,,,,,,,,,Oil or Gas Well,Unknown,,,,,,,,,,,
SMU-Google BHT Heat Flow,5.07108E+12,,-104.8368,37.2507,CO-BHT-000332-a,868.7,58.9,-2.4,56.5,12.5,50.7,"Pioneer Natural Resources, data exchange in 2011.",CO,Estimate: COSUNA section - CSR 25,,307.6,2.82,143,BHT-G,2435.5,Harrison,2,74,,,,,,,,,Oil or Gas Well,Unknown,,,,,,,,,,,
SMU-Google BHT Heat Flow,5.07108E+12,,-104.8368,37.2507,CO-BHT-000332-b,634,35.6,-5.9,29.7,12.5,27.1,"Pioneer Natural Resources, data exchange in 2011.",CO,Estimate: COSUNA section - CSR 25,,232.4,2.73,74,BHT-C,2435.5,Harrison,2,74,,,,,,,,,Oil or Gas Well,Unknown,,,,,,,,,,,
SMU-Google BHT Heat Flow,5.07109E+12,,-104.8367,37.2794,CO-BHT-000333-a,702.6,38.9,-4.8,34.1,12.5,30.7,"Pioneer Natural Resources, data exchange in 2011.",CO,Estimate: COSUNA section - CSR 25,,254.4,2.76,85,BHT-G,2433.3,Harrison,2,,,,,,,,,,Oil or Gas Well,Unknown,,,,,,,,,,,
SMU-Google BHT Heat Flow,5.07109E+12,,-104.8367,37.2794,CO-BHT-000333-b,702.6,48.9,-4.8,44.1,12.5,45,"Pioneer Natural Resources, data exchange in 2011.",CO,Estimate: COSUNA section - CSR 25,,254.4,2.76,124,BHT-G,2433.3,Harrison,2,,,,,,,,,,Oil or Gas Well,Unknown,,,,,,,,,,,
SMU-Google BHT Heat Flow,5.07109E+12,,-104.8364,37.2797,CO-BHT-000334-a,833.6,42.2,-2.9,39.3,12.5,32.1,"Pioneer Natural Resources, data exchange in 2011.",CO,Estimate: COSUNA section - CSR 25,,296.4,2.81,90,BHT-G,2433.2,Harrison,2,,,,,,,,,,Oil or Gas Well,Unknown,,,,,,,,,,,
SMU-Google BHT Heat Flow,5.07109E+12,,-104.8364,37.2797,CO-BHT-000334-b,833.6,58.3,-2.9,55.4,12.5,51.5,"Pioneer Natural Resources, data exchange in 2011.",CO,Estimate: COSUNA section - CSR 25,,296.4,2.81,145,BHT-G,2433.2,Harrison,2,,,,,,,,,,Oil or Gas Well,Unknown,,,,,,,,,,,
SMU-Google BHT Heat Flow,5.07109E+12,,-104.8362,37.079,CO-BHT-000335-a,670.6,39.4,-5.3,34.1,12.6,32.1,"Pioneer Natural Resources, data exchange in 2011.",CO,Estimate: COSUNA section - CSR 25,,244.1,2.75,88,BHT-G,2313.6,Harrison,2,,,,,,,,,,Oil or Gas Well,Unknown,,,,,,,,,,,
SMU-Google BHT Heat Flow,5.07109E+12,,-104.8362,37.079,CO-BHT-000335-b,670.6,49.4,-5.3,44.1,12.6,47,"Pioneer Natural Resources, data exchange in 2011.",CO,Estimate: COSUNA section - CSR 25,,244.1,2.75,129,BHT-G,2313.6,Harrison,2,,,,,,,,,,Oil or Gas Well,Unknown,,,,,,,,,,,
SMU-Google BHT Heat Flow,5.07108E+12,,-104.8354,37.2832,CO-BHT-000336-a,832.1,48.9,-2.9,46,12.5,40.3,"Pioneer Natural Resources, data exchange in 2011.",CO,Estimate: COSUNA section - CSR 25,,295.9,2.81,113,BHT-G,2432.6,Harrison,2,,,,,,,,,,Oil or Gas Well,Unknown,,,,,,,,,,,
SMU-Google BHT Heat Flow,5.07108E+12,,-104.8354,37.2832,CO-BHT-000336-b,832.1,58.9,-2.9,56,12.5,52.3,"Pioneer Natural Resources, data exchange in 2011.",CO,Estimate: COSUNA section - CSR 25,,295.9,2.81,147,BHT-G,2432.6,Harrison,2,,,,,,,,,,Oil or Gas Well,Unknown,,,,,,,,,,,
SMU-Google BHT Heat Flow,5.07109E+12,,-104.8351,37.1209,CO-BHT-000337-a,602,42.8,-6.4,36.4,12.6,39.5,"Pioneer Natural Resources, data exchange in 2011.||Originally BHT-G Maria changed to BHT-C with Harrison Correction Q<110.",CO,Estimate: COSUNA section - CSR 25,,222.2,2.71,107,BHT-C,2347.1,Harrison,1,107,,,,,,,,,Oil or Gas Well,Unknown,,,,,,,,,Originally BHT-G Maria changed to BHT-C with Harrison Correction Q<110.,,
SMU-Google BHT Heat Flow,1230,,-104.8338,40.6244,CO-BHT-000338-a,2756.4,95,16,111,11.5,36.1,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",CO,Estimate: COSUNA section - CSR 20,,1834.7,1.5,54,BHT-C,3151.9,Harrison,1,54,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,,,,,,
SMU-Google BHT Heat Flow,5.07109E+12,,-104.8333,37.109,CO-BHT-000339-a,609.6,45.6,-6.2,39.4,12.6,44,"Pioneer Natural Resources, data exchange in 2011.",CO,Estimate: COSUNA section - CSR 25,,224.6,2.71,119,BHT-G,2337.7,Harrison,2,,,,,,,,,,Oil or Gas Well,Unknown,,,,,,,,,,,
SMU-Google BHT Heat Flow,5.07109E+12,,-104.8333,37.109,CO-BHT-000339-b,609.6,48.9,-6.2,42.7,12.6,49.4,"Pioneer Natural Resources, data exchange in 2011.",CO,Estimate: COSUNA section - CSR 25,,224.6,2.71,134,BHT-G,2337.7,Harrison,2,,,,,,,,,,Oil or Gas Well,Unknown,,,,,,,,,,,
SMU-Google BHT Heat Flow,5.07109E+12,,-104.8321,37.0692,CO-BHT-000340-a,659.9,45.6,-5.5,40.1,12.6,41.7,"Pioneer Natural Resources, data exchange in 2011.",CO,Estimate: COSUNA section - CSR 25,,240.7,2.74,114,BHT-G,2308,Harrison,1,,,,,,,,,,Oil or Gas Well,Unknown,,,,,,,,,,,
SMU-Google BHT Heat Flow,5.07109E+12,,-104.832,37.0761,CO-BHT-000341-a,666,38.9,-5.4,33.5,12.6,31.4,"Pioneer Natural Resources, data exchange in 2011.",CO,Estimate: COSUNA section - CSR 25,,242.7,2.74,86,BHT-G,2313.3,Harrison,2,,,,,,,,,,Oil or Gas Well,Unknown,,,,,,,,,,,
SMU-Google BHT Heat Flow,5.07109E+12,,-104.832,37.0761,CO-BHT-000341-b,666,49.4,-5.4,44,12.6,47.1,"Pioneer Natural Resources, data exchange in 2011.",CO,Estimate: COSUNA section - CSR 25,,242.7,2.74,129,BHT-G,2313.3,Harrison,2,,,,,,,,,,Oil or Gas Well,Unknown,,,,,,,,,,,
SMU-Google BHT Heat Flow,5.0711E+12,,-104.8316,37.2864,CO-BHT-000342-a,819.9,46.1,-3.1,43,12.5,37.2,"Pioneer Natural Resources, data exchange in 2011.||Originally BHT-G Maria changed to BHT-C with Harrison Correction Q<110.",CO,Estimate: COSUNA section - CSR 25,,292,2.81,105,BHT-C,2430.8,Harrison,1,105,,,,,,,,,Oil or Gas Well,Unknown,,,,,,,,,Originally BHT-G Maria changed to BHT-C with Harrison Correction Q<110.,,
SMU-Google BHT Heat Flow,5.07109E+12,,-104.8315,37.2568,CO-BHT-000343-a,685.8,43.3,-5.1,38.2,12.5,37.5,"Pioneer Natural Resources, data exchange in 2011.",CO,Estimate: COSUNA section - CSR 25,,249,2.75,103,BHT-G,2435.3,Harrison,2,,,,,,,,,,Oil or Gas Well,Unknown,,,,,,,,,,,
SMU-Google BHT Heat Flow,5.07109E+12,,-104.8315,37.2568,CO-BHT-000343-b,685.8,46.7,-5.1,41.6,12.5,42.4,"Pioneer Natural Resources, data exchange in 2011.",CO,Estimate: COSUNA section - CSR 25,,249,2.75,117,BHT-G,2435.3,Harrison,2,,,,,,,,,,Oil or Gas Well,Unknown,,,,,,,,,,,
SMU-Google BHT Heat Flow,5.07108E+12,,-104.8311,37.2376,CO-BHT-000344-a,794,54.4,-3.5,50.9,12.5,48.4,"Pioneer Natural Resources, data exchange in 2011.",CO,Estimate: COSUNA section - CSR 25,,283.7,2.8,136,BHT-G,2438.3,Harrison,1,,,,,,,,,,Oil or Gas Well,Unknown,,,,,,,,,,,
SMU-Google BHT Heat Flow,5.07108E+12,,-104.8297,37.291,CO-BHT-000345-a,788.8,58.3,-3.6,54.7,12.5,53.5,"Pioneer Natural Resources, data exchange in 2011.",CO,Estimate: COSUNA section - CSR 25,,282,2.8,150,BHT-G,2429.3,Harrison,1,,,,,,,,,,Oil or Gas Well,Unknown,,,,,,,,,,,
SMU-Google BHT Heat Flow,5.07108E+12,,-104.8295,37.2646,CO-BHT-000346-a,838.2,43.3,-2.8,40.5,12.5,33.4,"Pioneer Natural Resources, data exchange in 2011.",CO,Estimate: COSUNA section - CSR 25,,297.9,2.81,94,BHT-G,2434,Harrison,2,,,,,,,,,,Oil or Gas Well,Unknown,,,,,,,,,,,
SMU-Google BHT Heat Flow,5.07108E+12,,-104.8295,37.2646,CO-BHT-000346-b,838.2,52.2,-2.8,49.4,12.5,44,"Pioneer Natural Resources, data exchange in 2011.",CO,Estimate: COSUNA section - CSR 25,,297.9,2.81,124,BHT-G,2434,Harrison,2,,,,,,,,,,Oil or Gas Well,Unknown,,,,,,,,,,,
SMU-Google BHT Heat Flow,5.07108E+12,,-104.8292,37.2652,CO-BHT-000347-a,998.2,54.4,-0.6,53.8,12.5,41.4,"Pioneer Natural Resources, data exchange in 2011.",CO,Estimate: COSUNA section - CSR 25,,352.6,2.83,117,BHT-G,2433.8,Harrison,2,,,,,,,,,,Oil or Gas Well,Unknown,,,,,,,,,,,
SMU-Google BHT Heat Flow,5.07108E+12,,-104.8292,37.2652,CO-BHT-000347-b,998.2,55.6,-0.6,55,12.5,42.6,"Pioneer Natural Resources, data exchange in 2011.",CO,Estimate: COSUNA section - CSR 25,,352.6,2.83,121,BHT-G,2433.8,Harrison,2,,,,,,,,,,Oil or Gas Well,Unknown,,,,,,,,,,,
SMU-Google BHT Heat Flow,5.07108E+12,,-104.8279,37.2301,CO-BHT-000348-a,609.6,37.8,-6.2,31.6,12.5,31.3,"Pioneer Natural Resources, data exchange in 2011.",CO,Estimate: COSUNA section - CSR 25,,224.6,2.71,85,BHT-G,2440.9,Harrison,2,,,,,,,,,,Oil or Gas Well,Unknown,,,,,,,,,,,
SMU-Google BHT Heat Flow,5.07108E+12,,-104.8279,37.2301,CO-BHT-000348-b,609.6,47.8,-6.2,41.6,12.5,47.7,"Pioneer Natural Resources, data exchange in 2011.",CO,Estimate: COSUNA section - CSR 25,,224.6,2.71,129,BHT-G,2440.9,Harrison,2,,,,,,,,,,Oil or Gas Well,Unknown,,,,,,,,,,,
SMU-Google BHT Heat Flow,5.07109E+12,,-104.8275,37.1799,CO-BHT-000349-a,704.1,43.3,-4.8,38.5,12.6,36.8,"Pioneer Natural Resources, data exchange in 2011.",CO,Estimate: COSUNA section - CSR 25,,254.9,2.76,102,BHT-G,2412.5,Harrison,2,,,,,,,,,,Oil or Gas Well,Unknown,,,,,,,,,,,
SMU-Google BHT Heat Flow,5.07109E+12,,-104.8275,37.1799,CO-BHT-000349-b,704.1,49.4,-4.8,44.6,12.6,45.4,"Pioneer Natural Resources, data exchange in 2011.",CO,Estimate: COSUNA section - CSR 25,,254.9,2.76,125,BHT-G,2412.5,Harrison,2,,,,,,,,,,Oil or Gas Well,Unknown,,,,,,,,,,,
SMU-Google BHT Heat Flow,5.07109E+12,,-104.8274,37.2818,CO-BHT-000350-a,634,33.3,-5.9,27.4,12.5,23.5,"Pioneer Natural Resources, data exchange in 2011.",CO,Estimate: COSUNA section - CSR 25,,232.4,2.73,64,BHT-C,2430.2,Harrison,2,64,,,,,,,,,Oil or Gas Well,Unknown,,,,,,,,,,,
SMU-Google BHT Heat Flow,5.07109E+12,,-104.8274,37.2818,CO-BHT-000350-b,634,45,-5.9,39.1,12.5,42,"Pioneer Natural Resources, data exchange in 2011.",CO,Estimate: COSUNA section - CSR 25,,232.4,2.73,115,BHT-G,2430.2,Harrison,2,64,,,,,,,,,Oil or Gas Well,Unknown,,,,,,,,,,,
SMU-Google BHT Heat Flow,5.07108E+12,,-104.8271,37.2822,CO-BHT-000351-a,862.6,60,-2.5,57.5,12.5,52.2,"Pioneer Natural Resources, data exchange in 2011.",CO,Estimate: COSUNA section - CSR 25,,305.7,2.82,147,BHT-G,2430,Harrison,1,,,,,,,,,,Oil or Gas Well,Unknown,,,,,,,,,,,
SMU-Google BHT Heat Flow,5.07109E+12,,-104.8271,37.1462,CO-BHT-000352-a,825.7,49.4,-3,46.4,12.6,40.9,"Pioneer Natural Resources, data exchange in 2011.",CO,Estimate: COSUNA section - CSR 25,,293.8,2.81,115,BHT-G,2373.5,Harrison,1,,,,,,,,,,Oil or Gas Well,Unknown,,,,,,,,,,,
SMU-Google BHT Heat Flow,5.07109E+12,,-104.8262,37.0684,CO-BHT-000353-a,646.2,30.6,-5.7,24.9,12.6,19,"Pioneer Natural Resources, data exchange in 2011.",CO,Estimate: COSUNA section - CSR 25,,236.3,2.73,52,BHT-C,2310.7,Harrison,2,52,,,,,,,,,Oil or Gas Well,Unknown,,,,,,,,,,,
SMU-Google BHT Heat Flow,5.07109E+12,,-104.8262,37.0684,CO-BHT-000353-b,646.2,47.8,-5.7,42.1,12.6,45.7,"Pioneer Natural Resources, data exchange in 2011.",CO,Estimate: COSUNA section - CSR 25,,236.3,2.73,125,BHT-G,2310.7,Harrison,2,52,,,,,,,,,Oil or Gas Well,Unknown,,,,,,,,,,,
SMU-Google BHT Heat Flow,5.07108E+12,,-104.8261,37.2696,CO-BHT-000354-a,848.9,42.8,-2.7,40.1,12.5,32.5,"Pioneer Natural Resources, data exchange in 2011.",CO,Estimate: COSUNA section - CSR 25,,301.3,2.82,92,BHT-G,2432.6,Harrison,2,,,,,,,,,,Oil or Gas Well,Unknown,,,,,,,,,,,
SMU-Google BHT Heat Flow,5.07108E+12,,-104.8261,37.2696,CO-BHT-000354-b,848.9,51.1,-2.7,48.4,12.5,42.3,"Pioneer Natural Resources, data exchange in 2011.",CO,Estimate: COSUNA section - CSR 25,,301.3,2.82,119,BHT-G,2432.6,Harrison,2,,,,,,,,,,Oil or Gas Well,Unknown,,,,,,,,,,,
SMU-Google BHT Heat Flow,5.07108E+12,,-104.8256,37.1943,CO-BHT-000355-a,638.6,47.8,-5.8,42,12.6,46,"Pioneer Natural Resources, data exchange in 2011.",CO,Estimate: COSUNA section - CSR 25,,233.9,2.73,126,BHT-G,2430.4,Harrison,2,,,,,,,,,,Oil or Gas Well,Unknown,,,,,,,,,,,
SMU-Google BHT Heat Flow,5.07108E+12,,-104.8256,37.1943,CO-BHT-000355-b,638.6,54.4,-5.8,48.6,12.6,56.4,"Pioneer Natural Resources, data exchange in 2011.",CO,Estimate: COSUNA section - CSR 25,,233.9,2.73,154,BHT-G,2430.4,Harrison,2,,,,,,,,,,Oil or Gas Well,Unknown,,,,,,,,,,,
SMU-Google BHT Heat Flow,5.07108E+12,,-104.8242,37.2863,CO-BHT-000356-a,832.1,47.8,-2.9,44.9,12.5,38.9,"Pioneer Natural Resources, data exchange in 2011.",CO,Estimate: COSUNA section - CSR 25,,295.9,2.81,109,BHT-G,2428,Harrison,2,,,,,,,,,,Oil or Gas Well,Unknown,,,,,,,,,,,
SMU-Google BHT Heat Flow,5.07108E+12,,-104.8242,37.2863,CO-BHT-000356-b,832.1,58.9,-2.9,56,12.5,52.3,"Pioneer Natural Resources, data exchange in 2011.",CO,Estimate: COSUNA section - CSR 25,,295.9,2.81,147,BHT-G,2428,Harrison,2,,,,,,,,,,Oil or Gas Well,Unknown,,,,,,,,,,,
SMU-Google BHT Heat Flow,1230,,-104.8241,40.609,CO-BHT-000357-a,2759.1,97.8,16,113.8,11.5,37.1,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",CO,Estimate: COSUNA section - CSR 20,,1835.7,1.5,56,BHT-C,3204.4,Harrison,1,56,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,,,,,,
SMU-Google BHT Heat Flow,5.07109E+12,,-104.8241,37.3174,CO-BHT-000358-a,848.9,27.8,-2.7,25.1,12.5,14.8,"Pioneer Natural Resources, data exchange in 2011.",CO,Estimate: COSUNA section - CSR 25,,301.3,2.82,42,BHT-C,2373.2,Harrison,2,42,,,,,,,,,Oil or Gas Well,Unknown,,,,,,,,,,,
SMU-Google BHT Heat Flow,5.07109E+12,,-104.8241,37.3174,CO-BHT-000358-b,848.9,57.8,-2.7,55.1,12.5,50.2,"Pioneer Natural Resources, data exchange in 2011.",CO,Estimate: COSUNA section - CSR 25,,301.3,2.82,142,BHT-G,2373.2,Harrison,2,42,,,,,,,,,Oil or Gas Well,Unknown,,,,,,,,,,,
SMU-Google BHT Heat Flow,5.07109E+12,,-104.8241,37.1658,CO-BHT-000359-a,609.6,43.9,-6.2,37.7,12.6,41.2,"Pioneer Natural Resources, data exchange in 2011.",CO,Estimate: COSUNA section - CSR 25,,224.6,2.71,112,BHT-G,2397.1,Harrison,2,,,,,,,,,,Oil or Gas Well,Unknown,,,,,,,,,,,
SMU-Google BHT Heat Flow,5.07109E+12,,-104.8241,37.1658,CO-BHT-000359-b,609.6,52.2,-6.2,46,12.6,54.8,"Pioneer Natural Resources, data exchange in 2011.",CO,Estimate: COSUNA section - CSR 25,,224.6,2.71,149,BHT-G,2397.1,Harrison,2,,,,,,,,,,Oil or Gas Well,Unknown,,,,,,,,,,,
SMU-Google BHT Heat Flow,5.0711E+12,,-104.8231,37.2665,CO-BHT-000360-a,975.4,48.9,-0.9,48,12.5,36.4,"Pioneer Natural Resources, data exchange in 2011.",CO,Estimate: COSUNA section - CSR 25,,344.4,2.83,103,BHT-G,2433,Harrison,2,,,,,,,,,,Oil or Gas Well,Unknown,,,,,,,,,,,
SMU-Google BHT Heat Flow,5.0711E+12,,-104.8231,37.2665,CO-BHT-000360-b,975.4,52.2,-0.9,51.3,12.5,39.8,"Pioneer Natural Resources, data exchange in 2011.",CO,Estimate: COSUNA section - CSR 25,,344.4,2.83,113,BHT-G,2433,Harrison,2,,,,,,,,,,Oil or Gas Well,Unknown,,,,,,,,,,,
SMU-Google BHT Heat Flow,1230,,-104.8228,40.624,CO-BHT-000361-a,2761.9,98.9,16.1,115,11.5,37.5,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",CO,Estimate: COSUNA section - CSR 20,,1836.6,1.5,56,BHT-C,3188.5,Harrison,1,56,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,,,,,,
SMU-Google BHT Heat Flow,5.07109E+12,,-104.8228,37.0505,CO-BHT-000362-a,1645.9,110,7.2,117.2,12.6,63.6,"Pioneer Natural Resources, data exchange in 2011.",CO,Estimate: COSUNA section - CSR 25,,742.1,2.22,141,BHT-G,2301.4,Harrison,3,,,,,,,,,,Oil or Gas Well,Unknown,,,,,,,,,,,
SMU-Google BHT Heat Flow,5.07109E+12,,-104.8228,37.0505,CO-BHT-000362-b,678.2,38.9,-5.2,33.7,12.6,31.1,"Pioneer Natural Resources, data exchange in 2011.",CO,Estimate: COSUNA section - CSR 25,,246.6,2.75,86,BHT-G,2301.4,Harrison,3,,,,,,,,,,Oil or Gas Well,Unknown,,,,,,,,,,,
SMU-Google BHT Heat Flow,5.07109E+12,,-104.8228,37.0505,CO-BHT-000362-c,678.2,39.4,-5.2,34.2,12.6,31.8,"Pioneer Natural Resources, data exchange in 2011.",CO,Estimate: COSUNA section - CSR 25,,246.6,2.75,87,BHT-G,2301.4,Harrison,3,,,,,,,,,,Oil or Gas Well,Unknown,,,,,,,,,,,
SMU-Google BHT Heat Flow,5.07109E+12,,-104.8222,37.1745,CO-BHT-000363-a,618.7,33.9,-6.1,27.8,12.6,24.6,"Pioneer Natural Resources, data exchange in 2011.",CO,Estimate: COSUNA section - CSR 25,,227.5,2.72,67,BHT-C,2408.2,Harrison,2,67,,,,,,,,,Oil or Gas Well,Unknown,,,,,,,,,,,
SMU-Google BHT Heat Flow,5.07109E+12,,-104.8222,37.1745,CO-BHT-000363-b,618.7,38.9,-6.1,32.8,12.6,32.6,"Pioneer Natural Resources, data exchange in 2011.",CO,Estimate: COSUNA section - CSR 25,,227.5,2.72,89,BHT-G,2408.2,Harrison,2,67,,,,,,,,,Oil or Gas Well,Unknown,,,,,,,,,,,
SMU-Google BHT Heat Flow,5.07109E+12,,-104.8221,37.2083,CO-BHT-000364-a,701,46.1,-4.9,41.2,12.6,40.8,"Pioneer Natural Resources, data exchange in 2011.",CO,Estimate: COSUNA section - CSR 25,,253.9,2.76,113,BHT-G,2449.6,Harrison,2,,,,,,,,,,Oil or Gas Well,Unknown,,,,,,,,,,,
SMU-Google BHT Heat Flow,5.07109E+12,,-104.8221,37.2083,CO-BHT-000364-b,701,55.6,-4.9,50.7,12.6,54.4,"Pioneer Natural Resources, data exchange in 2011.",CO,Estimate: COSUNA section - CSR 25,,253.9,2.76,150,BHT-G,2449.6,Harrison,2,,,,,,,,,,Oil or Gas Well,Unknown,,,,,,,,,,,
SMU-Google BHT Heat Flow,5.07108E+12,,-104.8215,37.2905,CO-BHT-000365-a,731.5,58.3,-4.4,53.9,12.5,56.6,"Pioneer Natural Resources, data exchange in 2011.",CO,Estimate: COSUNA section - CSR 25,,263.7,2.77,157,BHT-G,2425.8,Harrison,1,,,,,,,,,,Oil or Gas Well,Unknown,,,,,,,,,,,
SMU-Google BHT Heat Flow,5.07109E+12,,-104.8214,37.2908,CO-BHT-000366-a,768.1,49.4,-3.9,45.5,12.5,43,"Pioneer Natural Resources, data exchange in 2011.",CO,Estimate: COSUNA section - CSR 25,,275.4,2.79,120,BHT-G,2425.6,Harrison,2,,,,,,,,,,Oil or Gas Well,Unknown,,,,,,,,,,,
