,index,longitude,latitude,depth,uncor_bht,harrison_correction,bhtcorrected_temp,surface_temp,harrison_gradient,reference_data_set,state,k_source,k_section,resistance,k,q_calculated,quality,basement_depth,correction,bht_well,well_ave_hf,file_number,operation_name,drilling_start,drilling_complete,tsc,state_plane_meter_x_coordinate,state_plane_meter_y_coordinate,company_name,well_type,well_status,field_name,formation,elevation_measured,elevation_ft,elevation_m,county_name
10,17,-94.82437,32.55629,3319.0,147.22,,147.0,20.97,37.97,Batiretal2018,TX,2018 Thermal K calcuated used COSUNA model: TXGC6alt100 |Temperature: SMU HF Database,,,2.36,91.13,BHT-C,,Harrison,1.0,91.13,,,,,,,,,,,,,,,,Gregg County
11,18,-94.82124,32.51989,3286.0,146.67,,147.0,21.02,38.34,Batiretal2018,TX,2018 Thermal K calcuated used COSUNA model: TXGC6alt100 |Temperature: SMU HF Database,,,2.36,92.08,BHT-C,,Harrison,1.0,92.08,,,,,,,,,,,,,,,,Gregg County
12,19,-94.82287,32.54322,3292.0,147.22,,147.0,20.99,38.28,Batiretal2018,TX,2018 Thermal K calcuated used COSUNA model: TXGC6alt100 |Temperature: SMU HF Database,,,2.36,91.92,BHT-C,,Harrison,1.0,91.92,,,,,,,,,,,,,,,,Gregg County
13,20,-94.82741,32.5295,3286.0,146.67,,147.0,21.01,38.34,Batiretal2018,TX,2018 Thermal K calcuated used COSUNA model: TXGC6alt100 |Temperature: SMU HF Database,,,2.36,92.12,BHT-C,,Harrison,1.0,92.12,,,,,,,,,,,,,,,,Gregg County
14,21,-94.80647,32.54752,3298.0,147.22,,147.0,20.98,38.21,Batiretal2018,TX,2018 Thermal K calcuated used COSUNA model: TXGC6alt100 |Temperature: SMU HF Database,,,2.36,91.67,BHT-C,,Harrison,1.0,91.67,,,,,,,,,,,,,,,,Gregg County
15,26,-94.82652,32.52506,3288.0,146.11,,146.0,21.02,38.01,Batiretal2018,TX,2018 Thermal K calcuated used COSUNA model: TXGC6alt100 |Temperature: SMU HF Database,,,2.36,91.33,BHT-C,,Harrison,1.0,91.33,,,,,,,,,,,,,,,,Gregg County
16,35,-94.82735,32.5682,3272.0,142.78,,143.0,20.96,37.3,Batiretal2018,TX,2018 Thermal K calcuated used COSUNA model: TXGC6alt100 |Temperature: SMU HF Database,,,2.36,89.68,BHT-C,,Harrison,1.0,89.68,,,,,,,,,,,,,,,,Gregg County
17,36,-94.73786,32.5704,3293.0,143.33,,143.0,20.91,37.08,Batiretal2018,TX,2018 Thermal K calcuated used COSUNA model: TXGC6alt100 |Temperature: SMU HF Database,,,2.35,88.68,BHT-C,,Harrison,1.0,88.68,,,,,,,,,,,,,,,,Gregg County
18,41,-94.82687,32.56448,3271.0,142.78,,143.0,20.96,37.31,Batiretal2018,TX,2018 Thermal K calcuated used COSUNA model: TXGC6alt100 |Temperature: SMU HF Database,,,2.36,89.71,BHT-C,,Harrison,1.0,89.71,,,,,,,,,,,,,,,,Gregg County
19,47,-94.79174,32.51933,3257.0,142.22,,142.0,21.0,37.15,Batiretal2018,TX,2018 Thermal K calcuated used COSUNA model: TXGC6alt100 |Temperature: SMU HF Database,,,2.36,89.23,BHT-C,,Harrison,1.0,89.23,,,,,,,,,,,,,,,,Gregg County
20,49,-94.79762,32.58465,3256.0,142.22,,142.0,20.92,37.19,Batiretal2018,TX,2018 Thermal K calcuated used COSUNA model: TXGC6alt100 |Temperature: SMU HF Database,,,2.36,89.32,BHT-C,,Harrison,1.0,89.32,,,,,,,,,,,,,,,,Gregg County
