longitude,latitude,depth,uncor_bht,harrison_correction,bhtcorrected_temp,surface_temp,harrison_gradient,reference_data_set,state,k_source,k_section,resistance,k,q_calculated,quality,basement_depth,correction,bht_well,well_ave_hf,file_number,operation_name,drilling_start,drilling_complete,tsc,state_plane_meter_x_coordinate,state_plane_meter_y_coordinate,company_name,well_type,well_status,field_name,formation,elevation_measured,elevation_ft,elevation_m,county_name
-94.64352,32.59281,2495.73,114.44,,128.92,20.8,43.32,Batiretal2018,TX,2018 Thermal K calcuated used COSUNA model: TXGC6alt100 |Temperature: SMU HF Database,,,2.3,101.01,BHT-D,,Harrison,1.0,101.01,,,,,,,,,,,,,,,,Harrison County
-93.3002,31.7002,1263.4,72.2,2.8,75.0,20.08,43.2,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",LA,Estimate: Blackwell Gulf Coast K Model,,,1.98,86.0,BHT-C,,Harrison,2.0,71.0,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,
-94.82837,32.51474,1117.54,68.33,,69.31,21.03,43.2,Batiretal2018,TX,2018 Thermal K calcuated used COSUNA model: TXGC6alt100 |Temperature: SMU HF Database,,,2.27,98.73,BHT-D,,Harrison,1.0,98.73,,,,,,,,,,,,,,,,Gregg County
-94.83458,32.49132,1124.47,68.33,,69.4,21.07,42.98,Batiretal2018,TX,2018 Thermal K calcuated used COSUNA model: TXGC6alt100 |Temperature: SMU HF Database,,,2.27,98.24,BHT-C,,Harrison,1.0,98.24,,,,,,,,,,,,,,,,Gregg County
-94.66516,32.30692,2364.78,108.89,,122.46,21.18,42.83,Batiretal2018,TX,2018 Thermal K calcuated used COSUNA model: TXGC6alt100 |Temperature: SMU HF Database,,,2.3,99.83,BHT-C,,Harrison,1.0,99.83,,,,,,,,,,,,,,,107.29,Rusk County
-94.2828,32.6804,2013.4,95.0,10.8,105.8,20.5,42.4,"Blackwell, D.D., M. Richards, and P. Stepp, Texas Geothermal Assessment for the I-35 Corridor East, Final Report for the Texas State Energy Conservation, Contract CM709, SMU Geothermal Laboratory, 88 p., 2010.",TX,Estimate: Blackwell Gulf Coast K Model,,,2.07,88.0,BHT-C,,Harrison,1.0,88.0,,,,,13.25,,,Sam R. Sparks,Gas Well,Unknown,Woodlawn,,KB,319.0,97.26,Harrison
-94.58102,32.4382,3428.8,147.22,,165.78,20.95,42.24,Batiretal2018,TX,2018 Thermal K calcuated used COSUNA model: TXGC6alt100 |Temperature: SMU HF Database,,,2.35,100.95,BHT-C,,Harrison,1.0,100.95,,,,,,,,,,,,,,,81.08,Harrison County
-94.549,31.9197,3637.8,154.4,18.9,173.3,21.47,42.0,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",TX,Estimate: Blackwell Gulf Coast K Model,,,2.02,85.0,BHT-C,,Harrison,3.0,79.0,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,
-94.9812,32.6775,3929.3,165.6,19.1,184.7,20.89,42.0,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",TX,Estimate: Blackwell Gulf Coast K Model,,,2.12,89.0,BHT-C,,Harrison,2.0,87.0,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,
-94.3136,32.1338,2135.7,98.9,11.8,110.7,21.2,41.9,"Blackwell, D.D., M. Richards, and P. Stepp, Texas Geothermal Assessment for the I-35 Corridor East, Final Report for the Texas State Energy Conservation, Contract CM709, SMU Geothermal Laboratory, 88 p., 2010.",TX,Estimate: Blackwell Gulf Coast K Model,,,2.04,85.0,BHT-C,,Harrison,1.0,85.0,,,,,5.0,,,Anadarko ,Gas Well,Unknown,Carthage  ,Travis Peak,KB,312.0,95.12,Panola
-93.7674,31.0513,2589.9,114.4,15.1,129.5,21.4,41.7,"Blackwell, D.D., M. Richards, and P. Stepp, Texas Geothermal Assessment for the I-35 Corridor East, Final Report for the Texas State Energy Conservation, Contract CM709, SMU Geothermal Laboratory, 88 p., 2010.",TX,Estimate: Blackwell Gulf Coast K Model,,,1.97,82.0,BHT-C,,Harrison,1.0,82.0,,,,,,,,Swift Energy Co,Oil Well,Unknown,Brookland,,KB,414.0,126.22,Newton
-94.076,30.6835,2365.2,106.1,13.6,119.7,21.84,41.5,"American Association of Petroleum Geologist-CSDE-COSUNA and Geothermal Survey Data_Rom, 1994.",TX,Estimate: Blackwell Gulf Coast K Model,,,1.91,79.0,BHT-C,,Harrison,1.0,79.0,,,,,,,,,Oil or Gas Well,Drilled before 1972,,,,,,
-94.0819,32.0602,1280.5,71.1,3.0,74.1,21.1,41.4,"Blackwell, D.D., M. Richards, and P. Stepp, Texas Geothermal Assessment for the I-35 Corridor East, Final Report for the Texas State Energy Conservation, Contract CM709, SMU Geothermal Laboratory, 88 p., 2010.",TX,Estimate: Blackwell Gulf Coast K Model,,,2.03,84.0,BHT-C,,Harrison,1.0,84.0,,,,,4.5,,,"Harleton Oil & Gas, Inc.",Oil or Gas Well,Unknown,Carthage,,KB,232.6,70.91,Panola
